group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_hnsw,262144,11837823.0,414
neighbors,2_nn_hnsw,262144,23355621.0,828
neighbors,2_nn_hnsw,262144,41085989.0,1242
neighbors,2_nn_hnsw,262144,36126433.0,1656
neighbors,2_nn_hnsw,262144,41672956.0,2070
neighbors,2_nn_hnsw,262144,51622388.0,2484
neighbors,2_nn_hnsw,262144,58753994.0,2898
neighbors,2_nn_hnsw,262144,67090719.0,3312
neighbors,2_nn_hnsw,262144,83865776.0,3726
neighbors,2_nn_hnsw,262144,91883855.0,4140
neighbors,2_nn_hnsw,262144,110579116.0,4554
neighbors,2_nn_hnsw,262144,105414655.0,4968
neighbors,2_nn_hnsw,262144,113360313.0,5382
neighbors,2_nn_hnsw,262144,135253275.0,5796
neighbors,2_nn_hnsw,262144,145295394.0,6210
neighbors,2_nn_hnsw,262144,147630631.0,6624
neighbors,2_nn_hnsw,262144,150500613.0,7038
neighbors,2_nn_hnsw,262144,172355727.0,7452
neighbors,2_nn_hnsw,262144,158905075.0,7866
neighbors,2_nn_hnsw,262144,181667081.0,8280
neighbors,2_nn_hnsw,262144,193960163.0,8694
neighbors,2_nn_hnsw,262144,185793528.0,9108
neighbors,2_nn_hnsw,262144,209533174.0,9522
neighbors,2_nn_hnsw,262144,229992808.0,9936
neighbors,2_nn_hnsw,262144,233018460.0,10350
neighbors,2_nn_hnsw,262144,244186588.0,10764
neighbors,2_nn_hnsw,262144,240282041.0,11178
neighbors,2_nn_hnsw,262144,251126118.0,11592
neighbors,2_nn_hnsw,262144,259985235.0,12006
neighbors,2_nn_hnsw,262144,269754676.0,12420
neighbors,2_nn_hnsw,262144,292461450.0,12834
neighbors,2_nn_hnsw,262144,292504291.0,13248
