group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_hnsw,32768,10384997.0,620
neighbors,2_nn_hnsw,32768,19434046.0,1240
neighbors,2_nn_hnsw,32768,30999200.0,1860
neighbors,2_nn_hnsw,32768,35214131.0,2480
neighbors,2_nn_hnsw,32768,44002931.0,3100
neighbors,2_nn_hnsw,32768,52725837.0,3720
neighbors,2_nn_hnsw,32768,67216108.0,4340
neighbors,2_nn_hnsw,32768,66940116.0,4960
neighbors,2_nn_hnsw,32768,80905408.0,5580
neighbors,2_nn_hnsw,32768,83875655.0,6200
neighbors,2_nn_hnsw,32768,93422616.0,6820
neighbors,2_nn_hnsw,32768,101011889.0,7440
neighbors,2_nn_hnsw,32768,116828551.0,8060
neighbors,2_nn_hnsw,32768,125437397.0,8680
neighbors,2_nn_hnsw,32768,125575598.0,9300
neighbors,2_nn_hnsw,32768,134429177.0,9920
neighbors,2_nn_hnsw,32768,150604009.0,10540
neighbors,2_nn_hnsw,32768,158385321.0,11160
neighbors,2_nn_hnsw,32768,159508235.0,11780
neighbors,2_nn_hnsw,32768,175402728.0,12400
neighbors,2_nn_hnsw,32768,184428501.0,13020
neighbors,2_nn_hnsw,32768,184142041.0,13640
neighbors,2_nn_hnsw,32768,225169471.0,14260
neighbors,2_nn_hnsw,32768,232587644.0,14880
neighbors,2_nn_hnsw,32768,262531659.0,15500
neighbors,2_nn_hnsw,32768,260257035.0,16120
neighbors,2_nn_hnsw,32768,261961399.0,16740
neighbors,2_nn_hnsw,32768,245266807.0,17360
neighbors,2_nn_hnsw,32768,266919431.0,17980
neighbors,2_nn_hnsw,32768,257349574.0,18600
neighbors,2_nn_hnsw,32768,273594349.0,19220
neighbors,2_nn_hnsw,32768,275738036.0,19840
