group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear,128,9569240.0,11903
neighbors,2_nn_linear,128,18557771.0,23806
neighbors,2_nn_linear,128,27683830.0,35709
neighbors,2_nn_linear,128,36175213.0,47612
neighbors,2_nn_linear,128,45489263.0,59515
neighbors,2_nn_linear,128,54221569.0,71418
neighbors,2_nn_linear,128,64292950.0,83321
neighbors,2_nn_linear,128,72280454.0,95224
neighbors,2_nn_linear,128,82434819.0,107127
neighbors,2_nn_linear,128,90985287.0,119030
neighbors,2_nn_linear,128,99784957.0,130933
neighbors,2_nn_linear,128,108732291.0,142836
neighbors,2_nn_linear,128,118580476.0,154739
neighbors,2_nn_linear,128,130436167.0,166642
neighbors,2_nn_linear,128,145798754.0,178545
neighbors,2_nn_linear,128,161781943.0,190448
neighbors,2_nn_linear,128,179146975.0,202351
neighbors,2_nn_linear,128,192390166.0,214254
neighbors,2_nn_linear,128,203516343.0,226157
neighbors,2_nn_linear,128,207870078.0,238060
neighbors,2_nn_linear,128,200742103.0,249963
neighbors,2_nn_linear,128,208226726.0,261866
neighbors,2_nn_linear,128,213483791.0,273769
neighbors,2_nn_linear,128,233495709.0,285672
neighbors,2_nn_linear,128,225629445.0,297575
neighbors,2_nn_linear,128,237794257.0,309478
neighbors,2_nn_linear,128,246048879.0,321381
neighbors,2_nn_linear,128,256321736.0,333284
neighbors,2_nn_linear,128,263339025.0,345187
neighbors,2_nn_linear,128,274099356.0,357090
neighbors,2_nn_linear,128,281882619.0,368993
neighbors,2_nn_linear,128,307029200.0,380896
