group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,32768,10388004.0,336
neighbors,nearest_1_hnsw,32768,21972171.0,672
neighbors,nearest_1_hnsw,32768,29575705.0,1008
neighbors,nearest_1_hnsw,32768,37210198.0,1344
neighbors,nearest_1_hnsw,32768,46841655.0,1680
neighbors,nearest_1_hnsw,32768,56338155.0,2016
neighbors,nearest_1_hnsw,32768,65917549.0,2352
neighbors,nearest_1_hnsw,32768,75133784.0,2688
neighbors,nearest_1_hnsw,32768,84674368.0,3024
neighbors,nearest_1_hnsw,32768,93810973.0,3360
neighbors,nearest_1_hnsw,32768,103160055.0,3696
neighbors,nearest_1_hnsw,32768,112786920.0,4032
neighbors,nearest_1_hnsw,32768,122172102.0,4368
neighbors,nearest_1_hnsw,32768,132011380.0,4704
neighbors,nearest_1_hnsw,32768,140921895.0,5040
neighbors,nearest_1_hnsw,32768,150455239.0,5376
neighbors,nearest_1_hnsw,32768,160016798.0,5712
neighbors,nearest_1_hnsw,32768,169649444.0,6048
neighbors,nearest_1_hnsw,32768,178478663.0,6384
neighbors,nearest_1_hnsw,32768,188042941.0,6720
neighbors,nearest_1_hnsw,32768,198092561.0,7056
neighbors,nearest_1_hnsw,32768,206882597.0,7392
neighbors,nearest_1_hnsw,32768,216100765.0,7728
neighbors,nearest_1_hnsw,32768,225783335.0,8064
neighbors,nearest_1_hnsw,32768,235762758.0,8400
neighbors,nearest_1_hnsw,32768,244366463.0,8736
neighbors,nearest_1_hnsw,32768,254078293.0,9072
neighbors,nearest_1_hnsw,32768,263480106.0,9408
neighbors,nearest_1_hnsw,32768,272395985.0,9744
neighbors,nearest_1_hnsw,32768,280942574.0,10080
neighbors,nearest_1_hnsw,32768,291152915.0,10416
neighbors,nearest_1_hnsw,32768,301696565.0,10752
