group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,64,9391966.0,2274
neighbors,nearest_1_hnsw,64,18709313.0,4548
neighbors,nearest_1_hnsw,64,27838329.0,6822
neighbors,nearest_1_hnsw,64,37215896.0,9096
neighbors,nearest_1_hnsw,64,46544921.0,11370
neighbors,nearest_1_hnsw,64,54698867.0,13644
neighbors,nearest_1_hnsw,64,63089949.0,15918
neighbors,nearest_1_hnsw,64,71986472.0,18192
neighbors,nearest_1_hnsw,64,81453662.0,20466
neighbors,nearest_1_hnsw,64,89650620.0,22740
neighbors,nearest_1_hnsw,64,97807012.0,25014
neighbors,nearest_1_hnsw,64,107164755.0,27288
neighbors,nearest_1_hnsw,64,115659584.0,29562
neighbors,nearest_1_hnsw,64,123115012.0,31836
neighbors,nearest_1_hnsw,64,131384552.0,34110
neighbors,nearest_1_hnsw,64,139966211.0,36384
neighbors,nearest_1_hnsw,64,152854327.0,38658
neighbors,nearest_1_hnsw,64,166121711.0,40932
neighbors,nearest_1_hnsw,64,187638259.0,43206
neighbors,nearest_1_hnsw,64,192977487.0,45480
neighbors,nearest_1_hnsw,64,184847643.0,47754
neighbors,nearest_1_hnsw,64,193113333.0,50028
neighbors,nearest_1_hnsw,64,201925753.0,52302
neighbors,nearest_1_hnsw,64,213659863.0,54576
neighbors,nearest_1_hnsw,64,219376686.0,56850
neighbors,nearest_1_hnsw,64,228656037.0,59124
neighbors,nearest_1_hnsw,64,236337145.0,61398
neighbors,nearest_1_hnsw,64,245835458.0,63672
neighbors,nearest_1_hnsw,64,253637848.0,65946
neighbors,nearest_1_hnsw,64,261980039.0,68220
neighbors,nearest_1_hnsw,64,270347051.0,70494
neighbors,nearest_1_hnsw,64,278873494.0,72768
