group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,4096,9917713.0,2758
neighbors,nearest_1_linear,4096,19750413.0,5516
neighbors,nearest_1_linear,4096,29110435.0,8274
neighbors,nearest_1_linear,4096,37628040.0,11032
neighbors,nearest_1_linear,4096,47217955.0,13790
neighbors,nearest_1_linear,4096,56905089.0,16548
neighbors,nearest_1_linear,4096,66099094.0,19306
neighbors,nearest_1_linear,4096,82633315.0,22064
neighbors,nearest_1_linear,4096,92526052.0,24822
neighbors,nearest_1_linear,4096,95533337.0,27580
neighbors,nearest_1_linear,4096,104834352.0,30338
neighbors,nearest_1_linear,4096,113450532.0,33096
neighbors,nearest_1_linear,4096,122770593.0,35854
neighbors,nearest_1_linear,4096,131661532.0,38612
neighbors,nearest_1_linear,4096,141212230.0,41370
neighbors,nearest_1_linear,4096,150085007.0,44128
neighbors,nearest_1_linear,4096,159570759.0,46886
neighbors,nearest_1_linear,4096,169090436.0,49644
neighbors,nearest_1_linear,4096,176719334.0,52402
neighbors,nearest_1_linear,4096,185935039.0,55160
neighbors,nearest_1_linear,4096,196000028.0,57918
neighbors,nearest_1_linear,4096,204712034.0,60676
neighbors,nearest_1_linear,4096,215890163.0,63434
neighbors,nearest_1_linear,4096,224762897.0,66192
neighbors,nearest_1_linear,4096,233959642.0,68950
neighbors,nearest_1_linear,4096,244108438.0,71708
neighbors,nearest_1_linear,4096,252656042.0,74466
neighbors,nearest_1_linear,4096,260718389.0,77224
neighbors,nearest_1_linear,4096,269267287.0,79982
neighbors,nearest_1_linear,4096,279421058.0,82740
neighbors,nearest_1_linear,4096,291526116.0,85498
neighbors,nearest_1_linear,4096,298303233.0,88256
