group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,16384,11082338.0,80
neighbors,nearest_1_hnsw,16384,24489268.0,160
neighbors,nearest_1_hnsw,16384,34352306.0,240
neighbors,nearest_1_hnsw,16384,38359387.0,320
neighbors,nearest_1_hnsw,16384,47839328.0,400
neighbors,nearest_1_hnsw,16384,55489672.0,480
neighbors,nearest_1_hnsw,16384,68609692.0,560
neighbors,nearest_1_hnsw,16384,72511153.0,640
neighbors,nearest_1_hnsw,16384,82331289.0,720
neighbors,nearest_1_hnsw,16384,93471287.0,800
neighbors,nearest_1_hnsw,16384,102674018.0,880
neighbors,nearest_1_hnsw,16384,111368988.0,960
neighbors,nearest_1_hnsw,16384,126921069.0,1040
neighbors,nearest_1_hnsw,16384,128778088.0,1120
neighbors,nearest_1_hnsw,16384,137128425.0,1200
neighbors,nearest_1_hnsw,16384,152736295.0,1280
neighbors,nearest_1_hnsw,16384,155212414.0,1360
neighbors,nearest_1_hnsw,16384,171251046.0,1440
neighbors,nearest_1_hnsw,16384,179991121.0,1520
neighbors,nearest_1_hnsw,16384,186720274.0,1600
neighbors,nearest_1_hnsw,16384,194949826.0,1680
neighbors,nearest_1_hnsw,16384,208150160.0,1760
neighbors,nearest_1_hnsw,16384,213813124.0,1840
neighbors,nearest_1_hnsw,16384,222254659.0,1920
neighbors,nearest_1_hnsw,16384,230089701.0,2000
neighbors,nearest_1_hnsw,16384,247366705.0,2080
neighbors,nearest_1_hnsw,16384,247885536.0,2160
neighbors,nearest_1_hnsw,16384,266048246.0,2240
neighbors,nearest_1_hnsw,16384,270390999.0,2320
neighbors,nearest_1_hnsw,16384,274611438.0,2400
neighbors,nearest_1_hnsw,16384,293576490.0,2480
neighbors,nearest_1_hnsw,16384,299701534.0,2560
