group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,2,9619792.0,38606
neighbors,nearest_1_hnsw,2,19251929.0,77212
neighbors,nearest_1_hnsw,2,28087859.0,115818
neighbors,nearest_1_hnsw,2,38314666.0,154424
neighbors,nearest_1_hnsw,2,47236646.0,193030
neighbors,nearest_1_hnsw,2,56940248.0,231636
neighbors,nearest_1_hnsw,2,65534204.0,270242
neighbors,nearest_1_hnsw,2,75644581.0,308848
neighbors,nearest_1_hnsw,2,84699798.0,347454
neighbors,nearest_1_hnsw,2,94917891.0,386060
neighbors,nearest_1_hnsw,2,103016209.0,424666
neighbors,nearest_1_hnsw,2,113206065.0,463272
neighbors,nearest_1_hnsw,2,122084316.0,501878
neighbors,nearest_1_hnsw,2,132346818.0,540484
neighbors,nearest_1_hnsw,2,140209680.0,579090
neighbors,nearest_1_hnsw,2,150058750.0,617696
neighbors,nearest_1_hnsw,2,161351416.0,656302
neighbors,nearest_1_hnsw,2,169309520.0,694908
neighbors,nearest_1_hnsw,2,178173788.0,733514
neighbors,nearest_1_hnsw,2,189669234.0,772120
neighbors,nearest_1_hnsw,2,195570315.0,810726
neighbors,nearest_1_hnsw,2,207450983.0,849332
neighbors,nearest_1_hnsw,2,215334094.0,887938
neighbors,nearest_1_hnsw,2,224909192.0,926544
neighbors,nearest_1_hnsw,2,235639935.0,965150
neighbors,nearest_1_hnsw,2,250343869.0,1003756
neighbors,nearest_1_hnsw,2,252325092.0,1042362
neighbors,nearest_1_hnsw,2,263685356.0,1080968
neighbors,nearest_1_hnsw,2,271418119.0,1119574
neighbors,nearest_1_hnsw,2,282289296.0,1158180
neighbors,nearest_1_hnsw,2,290015612.0,1196786
neighbors,nearest_1_hnsw,2,301449208.0,1235392
