group,function,value,sample_time_nanos,iteration_count
neighbors,10_nn_DiscreteHNSW,2,10408500.0,119111
neighbors,10_nn_DiscreteHNSW,2,20730900.0,238222
neighbors,10_nn_DiscreteHNSW,2,26331800.0,357333
neighbors,10_nn_DiscreteHNSW,2,36186800.0,476444
neighbors,10_nn_DiscreteHNSW,2,43892900.0,595555
neighbors,10_nn_DiscreteHNSW,2,54894000.0,714666
neighbors,10_nn_DiscreteHNSW,2,61647800.0,833777
neighbors,10_nn_DiscreteHNSW,2,70003600.0,952888
neighbors,10_nn_DiscreteHNSW,2,78453100.0,1071999
neighbors,10_nn_DiscreteHNSW,2,87425100.0,1191110
neighbors,10_nn_DiscreteHNSW,2,96282400.0,1310221
neighbors,10_nn_DiscreteHNSW,2,105385000.0,1429332
neighbors,10_nn_DiscreteHNSW,2,113823800.0,1548443
neighbors,10_nn_DiscreteHNSW,2,122796200.0,1667554
neighbors,10_nn_DiscreteHNSW,2,132604800.0,1786665
neighbors,10_nn_DiscreteHNSW,2,144973600.0,1905776
neighbors,10_nn_DiscreteHNSW,2,150818000.0,2024887
neighbors,10_nn_DiscreteHNSW,2,158801700.0,2143998
neighbors,10_nn_DiscreteHNSW,2,166453100.0,2263109
neighbors,10_nn_DiscreteHNSW,2,175952800.0,2382220
neighbors,10_nn_DiscreteHNSW,2,184042600.0,2501331
neighbors,10_nn_DiscreteHNSW,2,194781400.0,2620442
neighbors,10_nn_DiscreteHNSW,2,201112900.0,2739553
neighbors,10_nn_DiscreteHNSW,2,210023600.0,2858664
neighbors,10_nn_DiscreteHNSW,2,219848800.0,2977775
neighbors,10_nn_DiscreteHNSW,2,228807000.0,3096886
neighbors,10_nn_DiscreteHNSW,2,237585700.0,3215997
neighbors,10_nn_DiscreteHNSW,2,244667400.0,3335108
neighbors,10_nn_DiscreteHNSW,2,253743600.0,3454219
neighbors,10_nn_DiscreteHNSW,2,262567400.0,3573330
neighbors,10_nn_DiscreteHNSW,2,273667100.0,3692441
neighbors,10_nn_DiscreteHNSW,2,279140000.0,3811552
