group,function,value,sample_time_nanos,iteration_count
neighbors,10_nn_linear_FixedHammingHeap,2,11119800.0,99760
neighbors,10_nn_linear_FixedHammingHeap,2,19929200.0,199520
neighbors,10_nn_linear_FixedHammingHeap,2,27067500.0,299280
neighbors,10_nn_linear_FixedHammingHeap,2,35847800.0,399040
neighbors,10_nn_linear_FixedHammingHeap,2,45251800.0,498800
neighbors,10_nn_linear_FixedHammingHeap,2,54960700.0,598560
neighbors,10_nn_linear_FixedHammingHeap,2,63605600.0,698320
neighbors,10_nn_linear_FixedHammingHeap,2,72022000.0,798080
neighbors,10_nn_linear_FixedHammingHeap,2,80555700.0,897840
neighbors,10_nn_linear_FixedHammingHeap,2,89279000.0,997600
neighbors,10_nn_linear_FixedHammingHeap,2,99654500.0,1097360
neighbors,10_nn_linear_FixedHammingHeap,2,107721900.0,1197120
neighbors,10_nn_linear_FixedHammingHeap,2,117585700.0,1296880
neighbors,10_nn_linear_FixedHammingHeap,2,127282400.0,1396640
neighbors,10_nn_linear_FixedHammingHeap,2,136917400.0,1496400
neighbors,10_nn_linear_FixedHammingHeap,2,144677100.0,1596160
neighbors,10_nn_linear_FixedHammingHeap,2,152757000.0,1695920
neighbors,10_nn_linear_FixedHammingHeap,2,161260400.0,1795680
neighbors,10_nn_linear_FixedHammingHeap,2,171612600.0,1895440
neighbors,10_nn_linear_FixedHammingHeap,2,179521000.0,1995200
neighbors,10_nn_linear_FixedHammingHeap,2,190048000.0,2094960
neighbors,10_nn_linear_FixedHammingHeap,2,199037500.0,2194720
neighbors,10_nn_linear_FixedHammingHeap,2,205929200.0,2294480
neighbors,10_nn_linear_FixedHammingHeap,2,216483900.0,2394240
neighbors,10_nn_linear_FixedHammingHeap,2,223997200.0,2494000
neighbors,10_nn_linear_FixedHammingHeap,2,233271000.0,2593760
neighbors,10_nn_linear_FixedHammingHeap,2,244656300.0,2693520
neighbors,10_nn_linear_FixedHammingHeap,2,252267800.0,2793280
neighbors,10_nn_linear_FixedHammingHeap,2,260683300.0,2893040
neighbors,10_nn_linear_FixedHammingHeap,2,268503700.0,2992800
neighbors,10_nn_linear_FixedHammingHeap,2,280185200.0,3092560
neighbors,10_nn_linear_FixedHammingHeap,2,286173900.0,3192320
