group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_DiscreteHNSW,512,12234200.0,606
neighbors,2_nn_DiscreteHNSW,512,19525400.0,1212
neighbors,2_nn_DiscreteHNSW,512,27883600.0,1818
neighbors,2_nn_DiscreteHNSW,512,35994000.0,2424
neighbors,2_nn_DiscreteHNSW,512,44075800.0,3030
neighbors,2_nn_DiscreteHNSW,512,54480400.0,3636
neighbors,2_nn_DiscreteHNSW,512,63679300.0,4242
neighbors,2_nn_DiscreteHNSW,512,73105500.0,4848
neighbors,2_nn_DiscreteHNSW,512,82834400.0,5454
neighbors,2_nn_DiscreteHNSW,512,91940100.0,6060
neighbors,2_nn_DiscreteHNSW,512,101703000.0,6666
neighbors,2_nn_DiscreteHNSW,512,110668100.0,7272
neighbors,2_nn_DiscreteHNSW,512,119627000.0,7878
neighbors,2_nn_DiscreteHNSW,512,128425700.0,8484
neighbors,2_nn_DiscreteHNSW,512,139653300.0,9090
neighbors,2_nn_DiscreteHNSW,512,147220900.0,9696
neighbors,2_nn_DiscreteHNSW,512,155811900.0,10302
neighbors,2_nn_DiscreteHNSW,512,165845500.0,10908
neighbors,2_nn_DiscreteHNSW,512,174399500.0,11514
neighbors,2_nn_DiscreteHNSW,512,184701800.0,12120
neighbors,2_nn_DiscreteHNSW,512,192720900.0,12726
neighbors,2_nn_DiscreteHNSW,512,203213800.0,13332
neighbors,2_nn_DiscreteHNSW,512,213115900.0,13938
neighbors,2_nn_DiscreteHNSW,512,220315000.0,14544
neighbors,2_nn_DiscreteHNSW,512,230420600.0,15150
neighbors,2_nn_DiscreteHNSW,512,238872600.0,15756
neighbors,2_nn_DiscreteHNSW,512,242976600.0,16362
neighbors,2_nn_DiscreteHNSW,512,261118800.0,16968
neighbors,2_nn_DiscreteHNSW,512,269746300.0,17574
neighbors,2_nn_DiscreteHNSW,512,281848100.0,18180
neighbors,2_nn_DiscreteHNSW,512,288892900.0,18786
neighbors,2_nn_DiscreteHNSW,512,286512000.0,19392
