group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear_FixedDiscreteCandidates,1,10987000.0,1103736
neighbors,2_nn_linear_FixedDiscreteCandidates,1,20948200.0,2207472
neighbors,2_nn_linear_FixedDiscreteCandidates,1,27702600.0,3311208
neighbors,2_nn_linear_FixedDiscreteCandidates,1,36992400.0,4414944
neighbors,2_nn_linear_FixedDiscreteCandidates,1,46412700.0,5518680
neighbors,2_nn_linear_FixedDiscreteCandidates,1,55866400.0,6622416
neighbors,2_nn_linear_FixedDiscreteCandidates,1,65598100.0,7726152
neighbors,2_nn_linear_FixedDiscreteCandidates,1,75440600.0,8829888
neighbors,2_nn_linear_FixedDiscreteCandidates,1,84115200.0,9933624
neighbors,2_nn_linear_FixedDiscreteCandidates,1,93566000.0,11037360
neighbors,2_nn_linear_FixedDiscreteCandidates,1,102364500.0,12141096
neighbors,2_nn_linear_FixedDiscreteCandidates,1,111976000.0,13244832
neighbors,2_nn_linear_FixedDiscreteCandidates,1,121479100.0,14348568
neighbors,2_nn_linear_FixedDiscreteCandidates,1,126924500.0,15452304
neighbors,2_nn_linear_FixedDiscreteCandidates,1,141453000.0,16556040
neighbors,2_nn_linear_FixedDiscreteCandidates,1,151256100.0,17659776
neighbors,2_nn_linear_FixedDiscreteCandidates,1,159220700.0,18763512
neighbors,2_nn_linear_FixedDiscreteCandidates,1,173182800.0,19867248
neighbors,2_nn_linear_FixedDiscreteCandidates,1,174506900.0,20970984
neighbors,2_nn_linear_FixedDiscreteCandidates,1,191980600.0,22074720
neighbors,2_nn_linear_FixedDiscreteCandidates,1,200829000.0,23178456
neighbors,2_nn_linear_FixedDiscreteCandidates,1,201396500.0,24282192
neighbors,2_nn_linear_FixedDiscreteCandidates,1,211174700.0,25385928
neighbors,2_nn_linear_FixedDiscreteCandidates,1,219216500.0,26489664
neighbors,2_nn_linear_FixedDiscreteCandidates,1,228288400.0,27593400
neighbors,2_nn_linear_FixedDiscreteCandidates,1,239668600.0,28697136
neighbors,2_nn_linear_FixedDiscreteCandidates,1,259180300.0,29800872
neighbors,2_nn_linear_FixedDiscreteCandidates,1,255304000.0,30904608
neighbors,2_nn_linear_FixedDiscreteCandidates,1,267767600.0,32008344
neighbors,2_nn_linear_FixedDiscreteCandidates,1,276890500.0,33112080
neighbors,2_nn_linear_FixedDiscreteCandidates,1,288816200.0,34215816
neighbors,2_nn_linear_FixedDiscreteCandidates,1,296819700.0,35319552
