group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear_FixedDiscreteCandidates,8,13289600.0,223421
neighbors,2_nn_linear_FixedDiscreteCandidates,8,18523500.0,446842
neighbors,2_nn_linear_FixedDiscreteCandidates,8,28149400.0,670263
neighbors,2_nn_linear_FixedDiscreteCandidates,8,36823900.0,893684
neighbors,2_nn_linear_FixedDiscreteCandidates,8,45417700.0,1117105
neighbors,2_nn_linear_FixedDiscreteCandidates,8,53093300.0,1340526
neighbors,2_nn_linear_FixedDiscreteCandidates,8,63792400.0,1563947
neighbors,2_nn_linear_FixedDiscreteCandidates,8,73133400.0,1787368
neighbors,2_nn_linear_FixedDiscreteCandidates,8,82046900.0,2010789
neighbors,2_nn_linear_FixedDiscreteCandidates,8,96651600.0,2234210
neighbors,2_nn_linear_FixedDiscreteCandidates,8,104971900.0,2457631
neighbors,2_nn_linear_FixedDiscreteCandidates,8,111760400.0,2681052
neighbors,2_nn_linear_FixedDiscreteCandidates,8,122034400.0,2904473
neighbors,2_nn_linear_FixedDiscreteCandidates,8,133527300.0,3127894
neighbors,2_nn_linear_FixedDiscreteCandidates,8,143562700.0,3351315
neighbors,2_nn_linear_FixedDiscreteCandidates,8,153146800.0,3574736
neighbors,2_nn_linear_FixedDiscreteCandidates,8,159275100.0,3798157
neighbors,2_nn_linear_FixedDiscreteCandidates,8,178552600.0,4021578
neighbors,2_nn_linear_FixedDiscreteCandidates,8,178949100.0,4244999
neighbors,2_nn_linear_FixedDiscreteCandidates,8,186551600.0,4468420
neighbors,2_nn_linear_FixedDiscreteCandidates,8,200581400.0,4691841
neighbors,2_nn_linear_FixedDiscreteCandidates,8,199420900.0,4915262
neighbors,2_nn_linear_FixedDiscreteCandidates,8,214393200.0,5138683
neighbors,2_nn_linear_FixedDiscreteCandidates,8,224590100.0,5362104
neighbors,2_nn_linear_FixedDiscreteCandidates,8,231775200.0,5585525
neighbors,2_nn_linear_FixedDiscreteCandidates,8,240647100.0,5808946
neighbors,2_nn_linear_FixedDiscreteCandidates,8,256873600.0,6032367
neighbors,2_nn_linear_FixedDiscreteCandidates,8,254016500.0,6255788
neighbors,2_nn_linear_FixedDiscreteCandidates,8,273365400.0,6479209
neighbors,2_nn_linear_FixedDiscreteCandidates,8,280300300.0,6702630
neighbors,2_nn_linear_FixedDiscreteCandidates,8,290450600.0,6926051
neighbors,2_nn_linear_FixedDiscreteCandidates,8,298147900.0,7149472
