group,function,value,sample_time_nanos,iteration_count
neighbors,10_nn_DiscreteHNSW,256,9487142.0,1064
neighbors,10_nn_DiscreteHNSW,256,18681162.0,2128
neighbors,10_nn_DiscreteHNSW,256,27935130.0,3192
neighbors,10_nn_DiscreteHNSW,256,35997130.0,4256
neighbors,10_nn_DiscreteHNSW,256,45454615.0,5320
neighbors,10_nn_DiscreteHNSW,256,53676358.0,6384
neighbors,10_nn_DiscreteHNSW,256,63108285.0,7448
neighbors,10_nn_DiscreteHNSW,256,71503624.0,8512
neighbors,10_nn_DiscreteHNSW,256,81432925.0,9576
neighbors,10_nn_DiscreteHNSW,256,89530004.0,10640
neighbors,10_nn_DiscreteHNSW,256,99943813.0,11704
neighbors,10_nn_DiscreteHNSW,256,107199015.0,12768
neighbors,10_nn_DiscreteHNSW,256,119351113.0,13832
neighbors,10_nn_DiscreteHNSW,256,125474345.0,14896
neighbors,10_nn_DiscreteHNSW,256,137920569.0,15960
neighbors,10_nn_DiscreteHNSW,256,146500431.0,17024
neighbors,10_nn_DiscreteHNSW,256,157070248.0,18088
neighbors,10_nn_DiscreteHNSW,256,164860716.0,19152
neighbors,10_nn_DiscreteHNSW,256,175773900.0,20216
neighbors,10_nn_DiscreteHNSW,256,183272839.0,21280
neighbors,10_nn_DiscreteHNSW,256,194231923.0,22344
neighbors,10_nn_DiscreteHNSW,256,200925131.0,23408
neighbors,10_nn_DiscreteHNSW,256,206310628.0,24472
neighbors,10_nn_DiscreteHNSW,256,215394078.0,25536
neighbors,10_nn_DiscreteHNSW,256,226166771.0,26600
neighbors,10_nn_DiscreteHNSW,256,232986188.0,27664
neighbors,10_nn_DiscreteHNSW,256,247049728.0,28728
neighbors,10_nn_DiscreteHNSW,256,250647604.0,29792
neighbors,10_nn_DiscreteHNSW,256,262335792.0,30856
neighbors,10_nn_DiscreteHNSW,256,272580688.0,31920
neighbors,10_nn_DiscreteHNSW,256,305052421.0,32984
neighbors,10_nn_DiscreteHNSW,256,326972241.0,34048
