group,function,value,sample_time_nanos,iteration_count
neighbors,10_nn_DiscreteHNSW,64,10715303.0,2038
neighbors,10_nn_DiscreteHNSW,64,21427807.0,4076
neighbors,10_nn_DiscreteHNSW,64,33004233.0,6114
neighbors,10_nn_DiscreteHNSW,64,43694074.0,8152
neighbors,10_nn_DiscreteHNSW,64,54797395.0,10190
neighbors,10_nn_DiscreteHNSW,64,65519101.0,12228
neighbors,10_nn_DiscreteHNSW,64,76533552.0,14266
neighbors,10_nn_DiscreteHNSW,64,85052818.0,16304
neighbors,10_nn_DiscreteHNSW,64,96104664.0,18342
neighbors,10_nn_DiscreteHNSW,64,102217222.0,20380
neighbors,10_nn_DiscreteHNSW,64,108563819.0,22418
neighbors,10_nn_DiscreteHNSW,64,115583873.0,24456
neighbors,10_nn_DiscreteHNSW,64,126512514.0,26494
neighbors,10_nn_DiscreteHNSW,64,137177021.0,28532
neighbors,10_nn_DiscreteHNSW,64,144582695.0,30570
neighbors,10_nn_DiscreteHNSW,64,150582140.0,32608
neighbors,10_nn_DiscreteHNSW,64,158640147.0,34646
neighbors,10_nn_DiscreteHNSW,64,165611275.0,36684
neighbors,10_nn_DiscreteHNSW,64,178279084.0,38722
neighbors,10_nn_DiscreteHNSW,64,186890219.0,40760
neighbors,10_nn_DiscreteHNSW,64,196800686.0,42798
neighbors,10_nn_DiscreteHNSW,64,204787869.0,44836
neighbors,10_nn_DiscreteHNSW,64,214945649.0,46874
neighbors,10_nn_DiscreteHNSW,64,223428138.0,48912
neighbors,10_nn_DiscreteHNSW,64,233490421.0,50950
neighbors,10_nn_DiscreteHNSW,64,241834527.0,52988
neighbors,10_nn_DiscreteHNSW,64,268103527.0,55026
neighbors,10_nn_DiscreteHNSW,64,292460751.0,57064
neighbors,10_nn_DiscreteHNSW,64,310789320.0,59102
neighbors,10_nn_DiscreteHNSW,64,315835816.0,61140
neighbors,10_nn_DiscreteHNSW,64,299964197.0,63178
neighbors,10_nn_DiscreteHNSW,64,306850707.0,65216
