group,function,value,sample_time_nanos,iteration_count
neighbors,10_nn_linear_FixedDiscreteCandidates,8,10033530.0,286332
neighbors,10_nn_linear_FixedDiscreteCandidates,8,20167509.0,572664
neighbors,10_nn_linear_FixedDiscreteCandidates,8,30677628.0,858996
neighbors,10_nn_linear_FixedDiscreteCandidates,8,41093947.0,1145328
neighbors,10_nn_linear_FixedDiscreteCandidates,8,51392893.0,1431660
neighbors,10_nn_linear_FixedDiscreteCandidates,8,61640949.0,1717992
neighbors,10_nn_linear_FixedDiscreteCandidates,8,71919819.0,2004324
neighbors,10_nn_linear_FixedDiscreteCandidates,8,81261675.0,2290656
neighbors,10_nn_linear_FixedDiscreteCandidates,8,90053335.0,2576988
neighbors,10_nn_linear_FixedDiscreteCandidates,8,100181320.0,2863320
neighbors,10_nn_linear_FixedDiscreteCandidates,8,107619547.0,3149652
neighbors,10_nn_linear_FixedDiscreteCandidates,8,112072866.0,3435984
neighbors,10_nn_linear_FixedDiscreteCandidates,8,117656154.0,3722316
neighbors,10_nn_linear_FixedDiscreteCandidates,8,125396365.0,4008648
neighbors,10_nn_linear_FixedDiscreteCandidates,8,136072780.0,4294980
neighbors,10_nn_linear_FixedDiscreteCandidates,8,145752887.0,4581312
neighbors,10_nn_linear_FixedDiscreteCandidates,8,153426995.0,4867644
neighbors,10_nn_linear_FixedDiscreteCandidates,8,165376740.0,5153976
neighbors,10_nn_linear_FixedDiscreteCandidates,8,180780785.0,5440308
neighbors,10_nn_linear_FixedDiscreteCandidates,8,195138504.0,5726640
neighbors,10_nn_linear_FixedDiscreteCandidates,8,209719284.0,6012972
neighbors,10_nn_linear_FixedDiscreteCandidates,8,220139083.0,6299304
neighbors,10_nn_linear_FixedDiscreteCandidates,8,224325564.0,6585636
neighbors,10_nn_linear_FixedDiscreteCandidates,8,217802548.0,6871968
neighbors,10_nn_linear_FixedDiscreteCandidates,8,226734930.0,7158300
neighbors,10_nn_linear_FixedDiscreteCandidates,8,236911659.0,7444632
neighbors,10_nn_linear_FixedDiscreteCandidates,8,246248364.0,7730964
neighbors,10_nn_linear_FixedDiscreteCandidates,8,268202102.0,8017296
neighbors,10_nn_linear_FixedDiscreteCandidates,8,286277231.0,8303628
neighbors,10_nn_linear_FixedDiscreteCandidates,8,300158485.0,8589960
neighbors,10_nn_linear_FixedDiscreteCandidates,8,292084239.0,8876292
neighbors,10_nn_linear_FixedDiscreteCandidates,8,288589271.0,9162624
