group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,9176048.0,159
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,18390712.0,318
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,27511801.0,477
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,36582256.0,636
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,45654791.0,795
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,54769424.0,954
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,63711254.0,1113
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,72657399.0,1272
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,84116396.0,1431
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,95738817.0,1590
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,107889031.0,1749
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,118804530.0,1908
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,130871643.0,2067
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,140941353.0,2226
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,151002439.0,2385
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,159949899.0,2544
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,159635183.0,2703
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,163673750.0,2862
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,172487969.0,3021
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,181794624.0,3180
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,189327979.0,3339
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,204349290.0,3498
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,223739119.0,3657
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,240249516.0,3816
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,251655176.0,3975
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,255560985.0,4134
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,247200655.0,4293
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,251927305.0,4452
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,263189000.0,4611
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,285476177.0,4770
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,306370975.0,4929
neighbors,2_nn_linear_FixedDiscreteCandidates,16384,322152566.0,5088
