group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear_FixedHammingHeap,512,9638611.0,4240
neighbors,2_nn_linear_FixedHammingHeap,512,19353853.0,8480
neighbors,2_nn_linear_FixedHammingHeap,512,29711390.0,12720
neighbors,2_nn_linear_FixedHammingHeap,512,40203144.0,16960
neighbors,2_nn_linear_FixedHammingHeap,512,50262320.0,21200
neighbors,2_nn_linear_FixedHammingHeap,512,60276585.0,25440
neighbors,2_nn_linear_FixedHammingHeap,512,70310016.0,29680
neighbors,2_nn_linear_FixedHammingHeap,512,81706920.0,33920
neighbors,2_nn_linear_FixedHammingHeap,512,92695160.0,38160
neighbors,2_nn_linear_FixedHammingHeap,512,103048767.0,42400
neighbors,2_nn_linear_FixedHammingHeap,512,112649110.0,46640
neighbors,2_nn_linear_FixedHammingHeap,512,120565210.0,50880
neighbors,2_nn_linear_FixedHammingHeap,512,132337162.0,55120
neighbors,2_nn_linear_FixedHammingHeap,512,133683917.0,59360
neighbors,2_nn_linear_FixedHammingHeap,512,137842520.0,63600
neighbors,2_nn_linear_FixedHammingHeap,512,146005708.0,67840
neighbors,2_nn_linear_FixedHammingHeap,512,153513660.0,72080
neighbors,2_nn_linear_FixedHammingHeap,512,163024886.0,76320
neighbors,2_nn_linear_FixedHammingHeap,512,171699405.0,80560
neighbors,2_nn_linear_FixedHammingHeap,512,186427726.0,84800
neighbors,2_nn_linear_FixedHammingHeap,512,204590717.0,89040
neighbors,2_nn_linear_FixedHammingHeap,512,220129034.0,93280
neighbors,2_nn_linear_FixedHammingHeap,512,231010944.0,97520
neighbors,2_nn_linear_FixedHammingHeap,512,239171519.0,101760
neighbors,2_nn_linear_FixedHammingHeap,512,232357972.0,106000
neighbors,2_nn_linear_FixedHammingHeap,512,237306127.0,110240
neighbors,2_nn_linear_FixedHammingHeap,512,243329157.0,114480
neighbors,2_nn_linear_FixedHammingHeap,512,253531925.0,118720
neighbors,2_nn_linear_FixedHammingHeap,512,263648330.0,122960
neighbors,2_nn_linear_FixedHammingHeap,512,272736430.0,127200
neighbors,2_nn_linear_FixedHammingHeap,512,283092832.0,131440
neighbors,2_nn_linear_FixedHammingHeap,512,297657320.0,135680
