group,function,value,sample_time_nanos,iteration_count
neighbors,2_nn_linear_handrolled,2,10400630.0,1156825
neighbors,2_nn_linear_handrolled,2,20783808.0,2313650
neighbors,2_nn_linear_handrolled,2,31817199.0,3470475
neighbors,2_nn_linear_handrolled,2,42303880.0,4627300
neighbors,2_nn_linear_handrolled,2,52889313.0,5784125
neighbors,2_nn_linear_handrolled,2,63959968.0,6940950
neighbors,2_nn_linear_handrolled,2,75708117.0,8097775
neighbors,2_nn_linear_handrolled,2,86833577.0,9254600
neighbors,2_nn_linear_handrolled,2,97063866.0,10411425
neighbors,2_nn_linear_handrolled,2,105757885.0,11568250
neighbors,2_nn_linear_handrolled,2,111025411.0,12725075
neighbors,2_nn_linear_handrolled,2,115961634.0,13881900
neighbors,2_nn_linear_handrolled,2,122202172.0,15038725
neighbors,2_nn_linear_handrolled,2,131228275.0,16195550
neighbors,2_nn_linear_handrolled,2,140675448.0,17352375
neighbors,2_nn_linear_handrolled,2,148575182.0,18509200
neighbors,2_nn_linear_handrolled,2,159241061.0,19666025
neighbors,2_nn_linear_handrolled,2,166401562.0,20822850
neighbors,2_nn_linear_handrolled,2,173599770.0,21979675
neighbors,2_nn_linear_handrolled,2,183532214.0,23136500
neighbors,2_nn_linear_handrolled,2,193822653.0,24293325
neighbors,2_nn_linear_handrolled,2,203338793.0,25450150
neighbors,2_nn_linear_handrolled,2,211712892.0,26606975
neighbors,2_nn_linear_handrolled,2,220196099.0,27763800
neighbors,2_nn_linear_handrolled,2,229633034.0,28920625
neighbors,2_nn_linear_handrolled,2,240532761.0,30077450
neighbors,2_nn_linear_handrolled,2,250921787.0,31234275
neighbors,2_nn_linear_handrolled,2,278816898.0,32391100
neighbors,2_nn_linear_handrolled,2,299405353.0,33547925
neighbors,2_nn_linear_handrolled,2,317901183.0,34704750
neighbors,2_nn_linear_handrolled,2,306024456.0,35861575
neighbors,2_nn_linear_handrolled,2,299955403.0,37018400
