group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,8,9434153.0,16402
neighbors,nearest_1_hnsw,8,19491997.0,32804
neighbors,nearest_1_hnsw,8,28137382.0,49206
neighbors,nearest_1_hnsw,8,37587945.0,65608
neighbors,nearest_1_hnsw,8,46819405.0,82010
neighbors,nearest_1_hnsw,8,56264789.0,98412
neighbors,nearest_1_hnsw,8,65676839.0,114814
neighbors,nearest_1_hnsw,8,75656391.0,131216
neighbors,nearest_1_hnsw,8,84791768.0,147618
neighbors,nearest_1_hnsw,8,94274846.0,164020
neighbors,nearest_1_hnsw,8,103983973.0,180422
neighbors,nearest_1_hnsw,8,113299551.0,196824
neighbors,nearest_1_hnsw,8,122728287.0,213226
neighbors,nearest_1_hnsw,8,132427418.0,229628
neighbors,nearest_1_hnsw,8,142038003.0,246030
neighbors,nearest_1_hnsw,8,151081110.0,262432
neighbors,nearest_1_hnsw,8,160403217.0,278834
neighbors,nearest_1_hnsw,8,169360695.0,295236
neighbors,nearest_1_hnsw,8,179262415.0,311638
neighbors,nearest_1_hnsw,8,187945120.0,328040
neighbors,nearest_1_hnsw,8,198454453.0,344442
neighbors,nearest_1_hnsw,8,207652677.0,360844
neighbors,nearest_1_hnsw,8,216727288.0,377246
neighbors,nearest_1_hnsw,8,227011840.0,393648
neighbors,nearest_1_hnsw,8,235866619.0,410050
neighbors,nearest_1_hnsw,8,245361375.0,426452
neighbors,nearest_1_hnsw,8,253835134.0,442854
neighbors,nearest_1_hnsw,8,263996262.0,459256
neighbors,nearest_1_hnsw,8,273502117.0,475658
neighbors,nearest_1_hnsw,8,282797480.0,492060
neighbors,nearest_1_hnsw,8,292545734.0,508462
neighbors,nearest_1_hnsw,8,301776198.0,524864
