group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,8388608,11694282.0,93
neighbors,nearest_1_hnsw,8388608,20448803.0,186
neighbors,nearest_1_hnsw,8388608,28719499.0,279
neighbors,nearest_1_hnsw,8388608,38381691.0,372
neighbors,nearest_1_hnsw,8388608,47516461.0,465
neighbors,nearest_1_hnsw,8388608,56713869.0,558
neighbors,nearest_1_hnsw,8388608,65959759.0,651
neighbors,nearest_1_hnsw,8388608,75757602.0,744
neighbors,nearest_1_hnsw,8388608,85069954.0,837
neighbors,nearest_1_hnsw,8388608,94115814.0,930
neighbors,nearest_1_hnsw,8388608,103972272.0,1023
neighbors,nearest_1_hnsw,8388608,114040584.0,1116
neighbors,nearest_1_hnsw,8388608,122861208.0,1209
neighbors,nearest_1_hnsw,8388608,132447755.0,1302
neighbors,nearest_1_hnsw,8388608,142369635.0,1395
neighbors,nearest_1_hnsw,8388608,151782922.0,1488
neighbors,nearest_1_hnsw,8388608,160418652.0,1581
neighbors,nearest_1_hnsw,8388608,170576836.0,1674
neighbors,nearest_1_hnsw,8388608,182241673.0,1767
neighbors,nearest_1_hnsw,8388608,189426271.0,1860
neighbors,nearest_1_hnsw,8388608,199837087.0,1953
neighbors,nearest_1_hnsw,8388608,213265229.0,2046
neighbors,nearest_1_hnsw,8388608,216451966.0,2139
neighbors,nearest_1_hnsw,8388608,229273074.0,2232
neighbors,nearest_1_hnsw,8388608,236284863.0,2325
neighbors,nearest_1_hnsw,8388608,245741783.0,2418
neighbors,nearest_1_hnsw,8388608,255096508.0,2511
neighbors,nearest_1_hnsw,8388608,265878239.0,2604
neighbors,nearest_1_hnsw,8388608,275789907.0,2697
neighbors,nearest_1_hnsw,8388608,285331314.0,2790
neighbors,nearest_1_hnsw,8388608,294746778.0,2883
neighbors,nearest_1_hnsw,8388608,304979607.0,2976
