group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,1024,9624644.0,606
neighbors,nearest_1_hnsw,1024,18890804.0,1212
neighbors,nearest_1_hnsw,1024,28485962.0,1818
neighbors,nearest_1_hnsw,1024,37517726.0,2424
neighbors,nearest_1_hnsw,1024,46917435.0,3030
neighbors,nearest_1_hnsw,1024,56780759.0,3636
neighbors,nearest_1_hnsw,1024,66190310.0,4242
neighbors,nearest_1_hnsw,1024,75129019.0,4848
neighbors,nearest_1_hnsw,1024,84682014.0,5454
neighbors,nearest_1_hnsw,1024,93897976.0,6060
neighbors,nearest_1_hnsw,1024,103661772.0,6666
neighbors,nearest_1_hnsw,1024,113275340.0,7272
neighbors,nearest_1_hnsw,1024,122450344.0,7878
neighbors,nearest_1_hnsw,1024,131985919.0,8484
neighbors,nearest_1_hnsw,1024,140813149.0,9090
neighbors,nearest_1_hnsw,1024,150817545.0,9696
neighbors,nearest_1_hnsw,1024,160305062.0,10302
neighbors,nearest_1_hnsw,1024,168580398.0,10908
neighbors,nearest_1_hnsw,1024,178126688.0,11514
neighbors,nearest_1_hnsw,1024,187583330.0,12120
neighbors,nearest_1_hnsw,1024,197385209.0,12726
neighbors,nearest_1_hnsw,1024,207203119.0,13332
neighbors,nearest_1_hnsw,1024,216375231.0,13938
neighbors,nearest_1_hnsw,1024,225330064.0,14544
neighbors,nearest_1_hnsw,1024,234139531.0,15150
neighbors,nearest_1_hnsw,1024,243636413.0,15756
neighbors,nearest_1_hnsw,1024,252130221.0,16362
neighbors,nearest_1_hnsw,1024,260395088.0,16968
neighbors,nearest_1_hnsw,1024,270875781.0,17574
neighbors,nearest_1_hnsw,1024,280301756.0,18180
neighbors,nearest_1_hnsw,1024,289323796.0,18786
neighbors,nearest_1_hnsw,1024,298844338.0,19392
