group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hnsw,16384,9978851.0,360
neighbors,nearest_1_hnsw,16384,19465650.0,720
neighbors,nearest_1_hnsw,16384,28145720.0,1080
neighbors,nearest_1_hnsw,16384,37719668.0,1440
neighbors,nearest_1_hnsw,16384,47171123.0,1800
neighbors,nearest_1_hnsw,16384,56897269.0,2160
neighbors,nearest_1_hnsw,16384,66343373.0,2520
neighbors,nearest_1_hnsw,16384,75458495.0,2880
neighbors,nearest_1_hnsw,16384,84538494.0,3240
neighbors,nearest_1_hnsw,16384,94175198.0,3600
neighbors,nearest_1_hnsw,16384,103766008.0,3960
neighbors,nearest_1_hnsw,16384,113688416.0,4320
neighbors,nearest_1_hnsw,16384,122432515.0,4680
neighbors,nearest_1_hnsw,16384,131576007.0,5040
neighbors,nearest_1_hnsw,16384,140274263.0,5400
neighbors,nearest_1_hnsw,16384,149982578.0,5760
neighbors,nearest_1_hnsw,16384,160342728.0,6120
neighbors,nearest_1_hnsw,16384,169021496.0,6480
neighbors,nearest_1_hnsw,16384,178948164.0,6840
neighbors,nearest_1_hnsw,16384,188249980.0,7200
neighbors,nearest_1_hnsw,16384,197419361.0,7560
neighbors,nearest_1_hnsw,16384,206842486.0,7920
neighbors,nearest_1_hnsw,16384,216671534.0,8280
neighbors,nearest_1_hnsw,16384,225756037.0,8640
neighbors,nearest_1_hnsw,16384,234461005.0,9000
neighbors,nearest_1_hnsw,16384,243864344.0,9360
neighbors,nearest_1_hnsw,16384,252858728.0,9720
neighbors,nearest_1_hnsw,16384,262514231.0,10080
neighbors,nearest_1_hnsw,16384,270800231.0,10440
neighbors,nearest_1_hnsw,16384,280812855.0,10800
neighbors,nearest_1_hnsw,16384,289583144.0,11160
neighbors,nearest_1_hnsw,16384,299893526.0,11520
