group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,1048576,11212305.0,10
neighbors,nearest_1_linear,1048576,22360393.0,20
neighbors,nearest_1_linear,1048576,28750806.0,30
neighbors,nearest_1_linear,1048576,37792156.0,40
neighbors,nearest_1_linear,1048576,47078756.0,50
neighbors,nearest_1_linear,1048576,57018794.0,60
neighbors,nearest_1_linear,1048576,66776432.0,70
neighbors,nearest_1_linear,1048576,75717446.0,80
neighbors,nearest_1_linear,1048576,85164785.0,90
neighbors,nearest_1_linear,1048576,94135180.0,100
neighbors,nearest_1_linear,1048576,104414367.0,110
neighbors,nearest_1_linear,1048576,113250701.0,120
neighbors,nearest_1_linear,1048576,121793852.0,130
neighbors,nearest_1_linear,1048576,134302925.0,140
neighbors,nearest_1_linear,1048576,142115849.0,150
neighbors,nearest_1_linear,1048576,150031959.0,160
neighbors,nearest_1_linear,1048576,160411326.0,170
neighbors,nearest_1_linear,1048576,169576512.0,180
neighbors,nearest_1_linear,1048576,178345556.0,190
neighbors,nearest_1_linear,1048576,187987169.0,200
neighbors,nearest_1_linear,1048576,199064705.0,210
neighbors,nearest_1_linear,1048576,208659976.0,220
neighbors,nearest_1_linear,1048576,217678964.0,230
neighbors,nearest_1_linear,1048576,226603278.0,240
neighbors,nearest_1_linear,1048576,237687733.0,250
neighbors,nearest_1_linear,1048576,245717775.0,260
neighbors,nearest_1_linear,1048576,256974805.0,270
neighbors,nearest_1_linear,1048576,262906942.0,280
neighbors,nearest_1_linear,1048576,275064879.0,290
neighbors,nearest_1_linear,1048576,281608627.0,300
neighbors,nearest_1_linear,1048576,291773931.0,310
neighbors,nearest_1_linear,1048576,302728747.0,320
