group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,4096,9554733.0,2700
neighbors,nearest_1_linear,4096,19553424.0,5400
neighbors,nearest_1_linear,4096,28442721.0,8100
neighbors,nearest_1_linear,4096,37788214.0,10800
neighbors,nearest_1_linear,4096,47455568.0,13500
neighbors,nearest_1_linear,4096,56502815.0,16200
neighbors,nearest_1_linear,4096,66315690.0,18900
neighbors,nearest_1_linear,4096,75182968.0,21600
neighbors,nearest_1_linear,4096,85113181.0,24300
neighbors,nearest_1_linear,4096,94476195.0,27000
neighbors,nearest_1_linear,4096,103978913.0,29700
neighbors,nearest_1_linear,4096,113423248.0,32400
neighbors,nearest_1_linear,4096,122813163.0,35100
neighbors,nearest_1_linear,4096,132285801.0,37800
neighbors,nearest_1_linear,4096,143551210.0,40500
neighbors,nearest_1_linear,4096,150877592.0,43200
neighbors,nearest_1_linear,4096,160353838.0,45900
neighbors,nearest_1_linear,4096,170037787.0,48600
neighbors,nearest_1_linear,4096,179025496.0,51300
neighbors,nearest_1_linear,4096,187620962.0,54000
neighbors,nearest_1_linear,4096,197631732.0,56700
neighbors,nearest_1_linear,4096,207042267.0,59400
neighbors,nearest_1_linear,4096,216196006.0,62100
neighbors,nearest_1_linear,4096,226486847.0,64800
neighbors,nearest_1_linear,4096,235356081.0,67500
neighbors,nearest_1_linear,4096,244460587.0,70200
neighbors,nearest_1_linear,4096,253664517.0,72900
neighbors,nearest_1_linear,4096,263111847.0,75600
neighbors,nearest_1_linear,4096,271855907.0,78300
neighbors,nearest_1_linear,4096,282052156.0,81000
neighbors,nearest_1_linear,4096,290892101.0,83700
neighbors,nearest_1_linear,4096,300928915.0,86400
