group,function,value,sample_time_nanos,iteration_count
insert,times,131072,13680019.0,2
insert,times,131072,31272181.0,4
insert,times,131072,40415036.0,6
insert,times,131072,54045050.0,8
insert,times,131072,66167269.0,10
insert,times,131072,78750241.0,12
insert,times,131072,91682863.0,14
insert,times,131072,104586000.0,16
insert,times,131072,117292535.0,18
insert,times,131072,134368140.0,20
insert,times,131072,143944591.0,22
insert,times,131072,159440417.0,24
insert,times,131072,170211601.0,26
insert,times,131072,178409106.0,28
insert,times,131072,194944431.0,30
insert,times,131072,203842939.0,32
insert,times,131072,221474491.0,34
insert,times,131072,235697832.0,36
insert,times,131072,241688908.0,38
insert,times,131072,258543515.0,40
insert,times,131072,276116933.0,42
insert,times,131072,289097245.0,44
insert,times,131072,300987272.0,46
insert,times,131072,314446693.0,48
insert,times,131072,329513573.0,50
insert,times,131072,340416339.0,52
insert,times,131072,353418593.0,54
insert,times,131072,366050668.0,56
insert,times,131072,380628164.0,58
insert,times,131072,398864475.0,60
insert,times,131072,410613504.0,62
insert,times,131072,423609894.0,64
