group,function,value,sample_time_nanos,iteration_count
insert,times,8,10740623.0,43709
insert,times,8,19980512.0,87418
insert,times,8,28935285.0,131127
insert,times,8,37442193.0,174836
insert,times,8,46702527.0,218545
insert,times,8,55688151.0,262254
insert,times,8,65035642.0,305963
insert,times,8,74087346.0,349672
insert,times,8,84047159.0,393381
insert,times,8,94185194.0,437090
insert,times,8,104051637.0,480799
insert,times,8,112592802.0,524508
insert,times,8,124540714.0,568217
insert,times,8,129691805.0,611926
insert,times,8,139337200.0,655635
insert,times,8,148075323.0,699344
insert,times,8,160208948.0,743053
insert,times,8,169468574.0,786762
insert,times,8,179124016.0,830471
insert,times,8,187201529.0,874180
insert,times,8,195487272.0,917889
insert,times,8,208105234.0,961598
insert,times,8,216471028.0,1005307
insert,times,8,224886687.0,1049016
insert,times,8,232982524.0,1092725
insert,times,8,241119699.0,1136434
insert,times,8,253650018.0,1180143
insert,times,8,265664460.0,1223852
insert,times,8,271532250.0,1267561
insert,times,8,278651180.0,1311270
insert,times,8,290372914.0,1354979
insert,times,8,298257286.0,1398688
