group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_10,8192,9839735.0,663
neighbors,nearest_1_hwt_maxerr_10,8192,19061547.0,1326
neighbors,nearest_1_hwt_maxerr_10,8192,27873822.0,1989
neighbors,nearest_1_hwt_maxerr_10,8192,37187057.0,2652
neighbors,nearest_1_hwt_maxerr_10,8192,46244622.0,3315
neighbors,nearest_1_hwt_maxerr_10,8192,54149536.0,3978
neighbors,nearest_1_hwt_maxerr_10,8192,64085130.0,4641
neighbors,nearest_1_hwt_maxerr_10,8192,72308684.0,5304
neighbors,nearest_1_hwt_maxerr_10,8192,81578312.0,5967
neighbors,nearest_1_hwt_maxerr_10,8192,90378018.0,6630
neighbors,nearest_1_hwt_maxerr_10,8192,99319032.0,7293
neighbors,nearest_1_hwt_maxerr_10,8192,108350202.0,7956
neighbors,nearest_1_hwt_maxerr_10,8192,117956793.0,8619
neighbors,nearest_1_hwt_maxerr_10,8192,127260074.0,9282
neighbors,nearest_1_hwt_maxerr_10,8192,135486105.0,9945
neighbors,nearest_1_hwt_maxerr_10,8192,145198715.0,10608
neighbors,nearest_1_hwt_maxerr_10,8192,153792740.0,11271
neighbors,nearest_1_hwt_maxerr_10,8192,162533456.0,11934
neighbors,nearest_1_hwt_maxerr_10,8192,171474099.0,12597
neighbors,nearest_1_hwt_maxerr_10,8192,180917081.0,13260
neighbors,nearest_1_hwt_maxerr_10,8192,189659661.0,13923
neighbors,nearest_1_hwt_maxerr_10,8192,199305356.0,14586
neighbors,nearest_1_hwt_maxerr_10,8192,207986062.0,15249
neighbors,nearest_1_hwt_maxerr_10,8192,218966773.0,15912
neighbors,nearest_1_hwt_maxerr_10,8192,226148868.0,16575
neighbors,nearest_1_hwt_maxerr_10,8192,243599932.0,17238
neighbors,nearest_1_hwt_maxerr_10,8192,244619946.0,17901
neighbors,nearest_1_hwt_maxerr_10,8192,252824451.0,18564
neighbors,nearest_1_hwt_maxerr_10,8192,262247648.0,19227
neighbors,nearest_1_hwt_maxerr_10,8192,276653561.0,19890
neighbors,nearest_1_hwt_maxerr_10,8192,280318454.0,20553
neighbors,nearest_1_hwt_maxerr_10,8192,288827247.0,21216
