group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,1024,10360353.0,9719
neighbors,nearest_1_linear,1024,18662012.0,19438
neighbors,nearest_1_linear,1024,28411631.0,29157
neighbors,nearest_1_linear,1024,36947002.0,38876
neighbors,nearest_1_linear,1024,45784747.0,48595
neighbors,nearest_1_linear,1024,55537101.0,58314
neighbors,nearest_1_linear,1024,66483100.0,68033
neighbors,nearest_1_linear,1024,73402454.0,77752
neighbors,nearest_1_linear,1024,82802944.0,87471
neighbors,nearest_1_linear,1024,90788230.0,97190
neighbors,nearest_1_linear,1024,100759222.0,106909
neighbors,nearest_1_linear,1024,110553774.0,116628
neighbors,nearest_1_linear,1024,119170075.0,126347
neighbors,nearest_1_linear,1024,128500075.0,136066
neighbors,nearest_1_linear,1024,137965748.0,145785
neighbors,nearest_1_linear,1024,148227871.0,155504
neighbors,nearest_1_linear,1024,154412879.0,165223
neighbors,nearest_1_linear,1024,163060803.0,174942
neighbors,nearest_1_linear,1024,173023731.0,184661
neighbors,nearest_1_linear,1024,182390575.0,194380
neighbors,nearest_1_linear,1024,193585988.0,204099
neighbors,nearest_1_linear,1024,202594981.0,213818
neighbors,nearest_1_linear,1024,208455771.0,223537
neighbors,nearest_1_linear,1024,219693019.0,233256
neighbors,nearest_1_linear,1024,228878416.0,242975
neighbors,nearest_1_linear,1024,241549150.0,252694
neighbors,nearest_1_linear,1024,249827489.0,262413
neighbors,nearest_1_linear,1024,255924738.0,272132
neighbors,nearest_1_linear,1024,263787229.0,281851
neighbors,nearest_1_linear,1024,278316733.0,291570
neighbors,nearest_1_linear,1024,285021101.0,301289
neighbors,nearest_1_linear,1024,294345522.0,311008
