group,function,value,sample_time_nanos,iteration_count
indices_2^10_samples,indices128,,10479000,37
indices_2^10_samples,indices128,,20206900,74
indices_2^10_samples,indices128,,31447700,111
indices_2^10_samples,indices128,,43629600,148
indices_2^10_samples,indices128,,50716600,185
indices_2^10_samples,indices128,,60851000,222
indices_2^10_samples,indices128,,72739200,259
indices_2^10_samples,indices128,,83672700,296
indices_2^10_samples,indices128,,93023700,333
indices_2^10_samples,indices128,,100388200,370
indices_2^10_samples,indices128,,108761400,407
indices_2^10_samples,indices128,,124851300,444
indices_2^10_samples,indices128,,135077100,481
indices_2^10_samples,indices128,,147324600,518
indices_2^10_samples,indices128,,165495800,555
indices_2^10_samples,indices128,,154691900,592
indices_2^10_samples,indices128,,165947600,629
indices_2^10_samples,indices128,,178209100,666
indices_2^10_samples,indices128,,191700900,703
indices_2^10_samples,indices128,,204632500,740
indices_2^10_samples,indices128,,213010000,777
indices_2^10_samples,indices128,,219300800,814
indices_2^10_samples,indices128,,226859000,851
indices_2^10_samples,indices128,,250269300,888
indices_2^10_samples,indices128,,248137200,925
indices_2^10_samples,indices128,,265165900,962
indices_2^10_samples,indices128,,269634300,999
indices_2^10_samples,indices128,,296315400,1036
indices_2^10_samples,indices128,,286192300,1073
indices_2^10_samples,indices128,,312816000,1110
