group,function,value,sample_time_nanos,iteration_count
indices_2^10_samples,indices16,,10868500,352
indices_2^10_samples,indices16,,23611700,704
indices_2^10_samples,indices16,,36318000,1056
indices_2^10_samples,indices16,,45170900,1408
indices_2^10_samples,indices16,,57305200,1760
indices_2^10_samples,indices16,,68957500,2112
indices_2^10_samples,indices16,,78197000,2464
indices_2^10_samples,indices16,,94551000,2816
indices_2^10_samples,indices16,,113577700,3168
indices_2^10_samples,indices16,,111083800,3520
indices_2^10_samples,indices16,,116684000,3872
indices_2^10_samples,indices16,,127660000,4224
indices_2^10_samples,indices16,,167176200,4576
indices_2^10_samples,indices16,,168180200,4928
indices_2^10_samples,indices16,,181045400,5280
indices_2^10_samples,indices16,,185888600,5632
indices_2^10_samples,indices16,,182890400,5984
indices_2^10_samples,indices16,,283582600,6336
indices_2^10_samples,indices16,,268418700,6688
indices_2^10_samples,indices16,,226747600,7040
indices_2^10_samples,indices16,,221732000,7392
indices_2^10_samples,indices16,,232475800,7744
indices_2^10_samples,indices16,,239781400,8096
indices_2^10_samples,indices16,,251511200,8448
indices_2^10_samples,indices16,,261643800,8800
indices_2^10_samples,indices16,,268629000,9152
indices_2^10_samples,indices16,,281741400,9504
indices_2^10_samples,indices16,,300192700,9856
indices_2^10_samples,indices16,,311234600,10208
indices_2^10_samples,indices16,,312303800,10560
