group,function,value,sample_time_nanos,iteration_count
insert,insert_2^20_times,,334517800,1
insert,insert_2^20_times,,656066000,2
insert,insert_2^20_times,,954217000,3
insert,insert_2^20_times,,1306124900,4
insert,insert_2^20_times,,1661295700,5
insert,insert_2^20_times,,2612522300,6
insert,insert_2^20_times,,3909119500,7
insert,insert_2^20_times,,3221206800,8
insert,insert_2^20_times,,4372454800,9
insert,insert_2^20_times,,3882509800,10
insert,insert_2^20_times,,4794319900,11
insert,insert_2^20_times,,5266034500,12
insert,insert_2^20_times,,5515388000,13
insert,insert_2^20_times,,5567777800,14
insert,insert_2^20_times,,6169705100,15
insert,insert_2^20_times,,6104758400,16
insert,insert_2^20_times,,6181983300,17
insert,insert_2^20_times,,6796030000,18
insert,insert_2^20_times,,6694852500,19
insert,insert_2^20_times,,6942914600,20
insert,insert_2^20_times,,7422825400,21
insert,insert_2^20_times,,8709937900,22
insert,insert_2^20_times,,8231762900,23
insert,insert_2^20_times,,8558403700,24
insert,insert_2^20_times,,8760610200,25
insert,insert_2^20_times,,9168346000,26
insert,insert_2^20_times,,9425911400,27
insert,insert_2^20_times,,9914057800,28
insert,insert_2^20_times,,10273790500,29
insert,insert_2^20_times,,10465502100,30
insert,insert_2^20_times,,11262774300,31
insert,insert_2^20_times,,11257509700,32
