group,function,value,sample_time_nanos,iteration_count
insert,insert_2^20_times,,362575800,1
insert,insert_2^20_times,,726971000,2
insert,insert_2^20_times,,1077544700,3
insert,insert_2^20_times,,1438848200,4
insert,insert_2^20_times,,1780642400,5
insert,insert_2^20_times,,2157934100,6
insert,insert_2^20_times,,2522099400,7
insert,insert_2^20_times,,2886158100,8
insert,insert_2^20_times,,3230929200,9
insert,insert_2^20_times,,3552716300,10
insert,insert_2^20_times,,3945162900,11
insert,insert_2^20_times,,4325041900,12
insert,insert_2^20_times,,4639889300,13
insert,insert_2^20_times,,5008967500,14
insert,insert_2^20_times,,5333201900,15
insert,insert_2^20_times,,5723889200,16
insert,insert_2^20_times,,6019871200,17
insert,insert_2^20_times,,6389507000,18
insert,insert_2^20_times,,6749511800,19
insert,insert_2^20_times,,7213728000,20
insert,insert_2^20_times,,7425645500,21
insert,insert_2^20_times,,7771744700,22
insert,insert_2^20_times,,8192839400,23
insert,insert_2^20_times,,8467108800,24
insert,insert_2^20_times,,8844474600,25
insert,insert_2^20_times,,9151222500,26
insert,insert_2^20_times,,9632041500,27
insert,insert_2^20_times,,9952432000,28
insert,insert_2^20_times,,10263243000,29
insert,insert_2^20_times,,10586953400,30
insert,insert_2^20_times,,10993732100,31
insert,insert_2^20_times,,12040573000,32
