group,function,value,sample_time_nanos,iteration_count
neighbors,search_radius_2_take_100,65536,13016000,6
neighbors,search_radius_2_take_100,65536,21729300,12
neighbors,search_radius_2_take_100,65536,32064200,18
neighbors,search_radius_2_take_100,65536,44299800,24
neighbors,search_radius_2_take_100,65536,56272600,30
neighbors,search_radius_2_take_100,65536,68455100,36
neighbors,search_radius_2_take_100,65536,80729400,42
neighbors,search_radius_2_take_100,65536,92000700,48
neighbors,search_radius_2_take_100,65536,105356500,54
neighbors,search_radius_2_take_100,65536,120370200,60
neighbors,search_radius_2_take_100,65536,134758300,66
neighbors,search_radius_2_take_100,65536,138920300,72
neighbors,search_radius_2_take_100,65536,150451200,78
neighbors,search_radius_2_take_100,65536,162716100,84
neighbors,search_radius_2_take_100,65536,175844200,90
neighbors,search_radius_2_take_100,65536,189913500,96
neighbors,search_radius_2_take_100,65536,192944800,102
neighbors,search_radius_2_take_100,65536,208866500,108
neighbors,search_radius_2_take_100,65536,215321200,114
neighbors,search_radius_2_take_100,65536,231571000,120
neighbors,search_radius_2_take_100,65536,244290200,126
neighbors,search_radius_2_take_100,65536,268033900,132
neighbors,search_radius_2_take_100,65536,272878800,138
neighbors,search_radius_2_take_100,65536,277407700,144
neighbors,search_radius_2_take_100,65536,287288100,150
neighbors,search_radius_2_take_100,65536,298093400,156
neighbors,search_radius_2_take_100,65536,315933300,162
neighbors,search_radius_2_take_100,65536,337586500,168
neighbors,search_radius_2_take_100,65536,350883600,174
neighbors,search_radius_2_take_100,65536,361624800,180
