group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_neighbor,16,11689200,1994
neighbors,nearest_neighbor,16,21788100,3988
neighbors,nearest_neighbor,16,31461100,5982
neighbors,nearest_neighbor,16,41588800,7976
neighbors,nearest_neighbor,16,51409800,9970
neighbors,nearest_neighbor,16,64151100,11964
neighbors,nearest_neighbor,16,74567300,13958
neighbors,nearest_neighbor,16,85681500,15952
neighbors,nearest_neighbor,16,94734400,17946
neighbors,nearest_neighbor,16,106530700,19940
neighbors,nearest_neighbor,16,119332900,21934
neighbors,nearest_neighbor,16,130008500,23928
neighbors,nearest_neighbor,16,138147700,25922
neighbors,nearest_neighbor,16,147824100,27916
neighbors,nearest_neighbor,16,162851100,29910
neighbors,nearest_neighbor,16,171982200,31904
neighbors,nearest_neighbor,16,181120000,33898
neighbors,nearest_neighbor,16,193723700,35892
neighbors,nearest_neighbor,16,201117500,37886
neighbors,nearest_neighbor,16,215555500,39880
neighbors,nearest_neighbor,16,223198000,41874
neighbors,nearest_neighbor,16,231714700,43868
neighbors,nearest_neighbor,16,240513600,45862
neighbors,nearest_neighbor,16,249121500,47856
neighbors,nearest_neighbor,16,262933000,49850
neighbors,nearest_neighbor,16,272648600,51844
neighbors,nearest_neighbor,16,282706100,53838
neighbors,nearest_neighbor,16,293159100,55832
neighbors,nearest_neighbor,16,302438300,57826
neighbors,nearest_neighbor,16,313674000,59820
