group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_neighbor,524288,11428100,586
neighbors,nearest_neighbor,524288,20973900,1172
neighbors,nearest_neighbor,524288,32871600,1758
neighbors,nearest_neighbor,524288,41671900,2344
neighbors,nearest_neighbor,524288,53367800,2930
neighbors,nearest_neighbor,524288,62727400,3516
neighbors,nearest_neighbor,524288,74394400,4102
neighbors,nearest_neighbor,524288,86293400,4688
neighbors,nearest_neighbor,524288,93266900,5274
neighbors,nearest_neighbor,524288,104711400,5860
neighbors,nearest_neighbor,524288,118141700,6446
neighbors,nearest_neighbor,524288,129631500,7032
neighbors,nearest_neighbor,524288,137476200,7618
neighbors,nearest_neighbor,524288,147918300,8204
neighbors,nearest_neighbor,524288,160701700,8790
neighbors,nearest_neighbor,524288,172767400,9376
neighbors,nearest_neighbor,524288,178670600,9962
neighbors,nearest_neighbor,524288,194231700,10548
neighbors,nearest_neighbor,524288,201894900,11134
neighbors,nearest_neighbor,524288,216411100,11720
neighbors,nearest_neighbor,524288,222511800,12306
neighbors,nearest_neighbor,524288,231300700,12892
neighbors,nearest_neighbor,524288,239963800,13478
neighbors,nearest_neighbor,524288,253117200,14064
neighbors,nearest_neighbor,524288,265218800,14650
neighbors,nearest_neighbor,524288,279804100,15236
neighbors,nearest_neighbor,524288,283678700,15822
neighbors,nearest_neighbor,524288,298948800,16408
neighbors,nearest_neighbor,524288,309127600,16994
neighbors,nearest_neighbor,524288,316578000,17580
