group,function,value,sample_time_nanos,iteration_count
insert,times,1,10480414.0,193354
insert,times,1,19430497.0,386708
insert,times,1,27840511.0,580062
insert,times,1,36759424.0,773416
insert,times,1,45874503.0,966770
insert,times,1,55551364.0,1160124
insert,times,1,65734719.0,1353478
insert,times,1,73682542.0,1546832
insert,times,1,82393063.0,1740186
insert,times,1,92611716.0,1933540
insert,times,1,100232342.0,2126894
insert,times,1,109851004.0,2320248
insert,times,1,118759802.0,2513602
insert,times,1,128045835.0,2706956
insert,times,1,142055675.0,2900310
insert,times,1,147758097.0,3093664
insert,times,1,155736366.0,3287018
insert,times,1,165926866.0,3480372
insert,times,1,174257542.0,3673726
insert,times,1,183438929.0,3867080
insert,times,1,198934837.0,4060434
insert,times,1,216420437.0,4253788
insert,times,1,227792140.0,4447142
insert,times,1,236771860.0,4640496
insert,times,1,249318827.0,4833850
insert,times,1,266230519.0,5027204
insert,times,1,269552928.0,5220558
insert,times,1,275947869.0,5413912
insert,times,1,286650161.0,5607266
insert,times,1,296791795.0,5800620
insert,times,1,301843591.0,5993974
insert,times,1,314757448.0,6187328
