group,function,value,sample_time_nanos,iteration_count
insert,times,16,10787191.0,20812
insert,times,16,18235840.0,41624
insert,times,16,26569007.0,62436
insert,times,16,37145008.0,83248
insert,times,16,45533488.0,104060
insert,times,16,54123902.0,124872
insert,times,16,62974535.0,145684
insert,times,16,73751883.0,166496
insert,times,16,81201685.0,187308
insert,times,16,89842589.0,208120
insert,times,16,99212639.0,228932
insert,times,16,107252910.0,249744
insert,times,16,117027187.0,270556
insert,times,16,123345305.0,291368
insert,times,16,133122649.0,312180
insert,times,16,142944448.0,332992
insert,times,16,153691746.0,353804
insert,times,16,160665154.0,374616
insert,times,16,169678024.0,395428
insert,times,16,180424534.0,416240
insert,times,16,186328328.0,437052
insert,times,16,200497271.0,457864
insert,times,16,209611299.0,478676
insert,times,16,217266765.0,499488
insert,times,16,227097699.0,520300
insert,times,16,233487312.0,541112
insert,times,16,243835208.0,561924
insert,times,16,252655923.0,582736
insert,times,16,262127941.0,603548
insert,times,16,269567796.0,624360
insert,times,16,279955746.0,645172
insert,times,16,286571720.0,665984
