group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_0,8388608,15428395.0,1
neighbors,nearest_1_hwt_maxerr_0,8388608,37635894.0,2
neighbors,nearest_1_hwt_maxerr_0,8388608,41931632.0,3
neighbors,nearest_1_hwt_maxerr_0,8388608,53188818.0,4
neighbors,nearest_1_hwt_maxerr_0,8388608,68056783.0,5
neighbors,nearest_1_hwt_maxerr_0,8388608,82888111.0,6
neighbors,nearest_1_hwt_maxerr_0,8388608,94799579.0,7
neighbors,nearest_1_hwt_maxerr_0,8388608,107538704.0,8
neighbors,nearest_1_hwt_maxerr_0,8388608,118232099.0,9
neighbors,nearest_1_hwt_maxerr_0,8388608,128790076.0,10
neighbors,nearest_1_hwt_maxerr_0,8388608,140696278.0,11
neighbors,nearest_1_hwt_maxerr_0,8388608,152349376.0,12
neighbors,nearest_1_hwt_maxerr_0,8388608,165153500.0,13
neighbors,nearest_1_hwt_maxerr_0,8388608,174474306.0,14
neighbors,nearest_1_hwt_maxerr_0,8388608,178856012.0,15
neighbors,nearest_1_hwt_maxerr_0,8388608,184632142.0,16
neighbors,nearest_1_hwt_maxerr_0,8388608,198650658.0,17
neighbors,nearest_1_hwt_maxerr_0,8388608,208534028.0,18
neighbors,nearest_1_hwt_maxerr_0,8388608,218788289.0,19
neighbors,nearest_1_hwt_maxerr_0,8388608,232120691.0,20
neighbors,nearest_1_hwt_maxerr_0,8388608,245282335.0,21
neighbors,nearest_1_hwt_maxerr_0,8388608,256709844.0,22
neighbors,nearest_1_hwt_maxerr_0,8388608,269561735.0,23
neighbors,nearest_1_hwt_maxerr_0,8388608,273549868.0,24
neighbors,nearest_1_hwt_maxerr_0,8388608,286371379.0,25
neighbors,nearest_1_hwt_maxerr_0,8388608,299147988.0,26
neighbors,nearest_1_hwt_maxerr_0,8388608,308774580.0,27
neighbors,nearest_1_hwt_maxerr_0,8388608,317601329.0,28
neighbors,nearest_1_hwt_maxerr_0,8388608,332351211.0,29
neighbors,nearest_1_hwt_maxerr_0,8388608,349969969.0,30
neighbors,nearest_1_hwt_maxerr_0,8388608,361731638.0,31
neighbors,nearest_1_hwt_maxerr_0,8388608,375852569.0,32
