group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,8,10767204.0,734929
neighbors,nearest_1_linear,8,19551680.0,1469858
neighbors,nearest_1_linear,8,27707578.0,2204787
neighbors,nearest_1_linear,8,36899402.0,2939716
neighbors,nearest_1_linear,8,45967621.0,3674645
neighbors,nearest_1_linear,8,55997920.0,4409574
neighbors,nearest_1_linear,8,64868770.0,5144503
neighbors,nearest_1_linear,8,73868239.0,5879432
neighbors,nearest_1_linear,8,82519333.0,6614361
neighbors,nearest_1_linear,8,92704341.0,7349290
neighbors,nearest_1_linear,8,99650990.0,8084219
neighbors,nearest_1_linear,8,108029689.0,8819148
neighbors,nearest_1_linear,8,116492818.0,9554077
neighbors,nearest_1_linear,8,125335685.0,10289006
neighbors,nearest_1_linear,8,133895596.0,11023935
neighbors,nearest_1_linear,8,143124301.0,11758864
neighbors,nearest_1_linear,8,151700862.0,12493793
neighbors,nearest_1_linear,8,161532921.0,13228722
neighbors,nearest_1_linear,8,169704775.0,13963651
neighbors,nearest_1_linear,8,182091722.0,14698580
neighbors,nearest_1_linear,8,187225965.0,15433509
neighbors,nearest_1_linear,8,196613423.0,16168438
neighbors,nearest_1_linear,8,207423659.0,16903367
neighbors,nearest_1_linear,8,214876972.0,17638296
neighbors,nearest_1_linear,8,227202844.0,18373225
neighbors,nearest_1_linear,8,232767619.0,19108154
neighbors,nearest_1_linear,8,241116608.0,19843083
neighbors,nearest_1_linear,8,250902017.0,20578012
neighbors,nearest_1_linear,8,262760225.0,21312941
neighbors,nearest_1_linear,8,268139927.0,22047870
neighbors,nearest_1_linear,8,278541207.0,22782799
neighbors,nearest_1_linear,8,289658264.0,23517728
