group,function,value,sample_time_nanos,iteration_count
insert,times,2048,11234490.0,178
insert,times,2048,20038745.0,356
insert,times,2048,28027884.0,534
insert,times,2048,37353223.0,712
insert,times,2048,46608724.0,890
insert,times,2048,55185895.0,1068
insert,times,2048,65487775.0,1246
insert,times,2048,83745530.0,1424
insert,times,2048,92457195.0,1602
insert,times,2048,98180991.0,1780
insert,times,2048,102762664.0,1958
insert,times,2048,110709925.0,2136
insert,times,2048,119496643.0,2314
insert,times,2048,128913956.0,2492
insert,times,2048,138399621.0,2670
insert,times,2048,143172765.0,2848
insert,times,2048,152168766.0,3026
insert,times,2048,164155071.0,3204
insert,times,2048,169102650.0,3382
insert,times,2048,183154846.0,3560
insert,times,2048,193166846.0,3738
insert,times,2048,198063639.0,3916
insert,times,2048,207398720.0,4094
insert,times,2048,214923996.0,4272
insert,times,2048,228262693.0,4450
insert,times,2048,238624765.0,4628
insert,times,2048,243480150.0,4806
insert,times,2048,253167182.0,4984
insert,times,2048,263911544.0,5162
insert,times,2048,268831821.0,5340
insert,times,2048,282429131.0,5518
insert,times,2048,288363032.0,5696
