group,function,value,sample_time_nanos,iteration_count
insert,times,65536,11275597.0,6
insert,times,65536,21018880.0,12
insert,times,65536,30046283.0,18
insert,times,65536,40041143.0,24
insert,times,65536,50073399.0,30
insert,times,65536,59340260.0,36
insert,times,65536,68720740.0,42
insert,times,65536,78325560.0,48
insert,times,65536,88173836.0,54
insert,times,65536,98888300.0,60
insert,times,65536,106573972.0,66
insert,times,65536,114442126.0,72
insert,times,65536,124763102.0,78
insert,times,65536,138979519.0,84
insert,times,65536,149149086.0,90
insert,times,65536,154674829.0,96
insert,times,65536,163339326.0,102
insert,times,65536,176616837.0,108
insert,times,65536,181482760.0,114
insert,times,65536,195658032.0,120
insert,times,65536,203986869.0,126
insert,times,65536,217814203.0,132
insert,times,65536,230630876.0,138
insert,times,65536,236576925.0,144
insert,times,65536,245933311.0,150
insert,times,65536,268549541.0,156
insert,times,65536,291219254.0,162
insert,times,65536,278487254.0,168
insert,times,65536,283566466.0,174
insert,times,65536,293410028.0,180
insert,times,65536,298028680.0,186
insert,times,65536,314249387.0,192
