group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_hwt_maxerr_10,2,10420304.0,48412
neighbors,nearest_1_hwt_maxerr_10,2,19803506.0,96824
neighbors,nearest_1_hwt_maxerr_10,2,27834000.0,145236
neighbors,nearest_1_hwt_maxerr_10,2,36877753.0,193648
neighbors,nearest_1_hwt_maxerr_10,2,47033544.0,242060
neighbors,nearest_1_hwt_maxerr_10,2,55921026.0,290472
neighbors,nearest_1_hwt_maxerr_10,2,64075160.0,338884
neighbors,nearest_1_hwt_maxerr_10,2,73131688.0,387296
neighbors,nearest_1_hwt_maxerr_10,2,81239342.0,435708
neighbors,nearest_1_hwt_maxerr_10,2,89592149.0,484120
neighbors,nearest_1_hwt_maxerr_10,2,98828691.0,532532
neighbors,nearest_1_hwt_maxerr_10,2,108373637.0,580944
neighbors,nearest_1_hwt_maxerr_10,2,118210501.0,629356
neighbors,nearest_1_hwt_maxerr_10,2,127059308.0,677768
neighbors,nearest_1_hwt_maxerr_10,2,136891426.0,726180
neighbors,nearest_1_hwt_maxerr_10,2,146240696.0,774592
neighbors,nearest_1_hwt_maxerr_10,2,152342597.0,823004
neighbors,nearest_1_hwt_maxerr_10,2,159581854.0,871416
neighbors,nearest_1_hwt_maxerr_10,2,170813064.0,919828
neighbors,nearest_1_hwt_maxerr_10,2,180493703.0,968240
neighbors,nearest_1_hwt_maxerr_10,2,185966445.0,1016652
neighbors,nearest_1_hwt_maxerr_10,2,201733471.0,1065064
neighbors,nearest_1_hwt_maxerr_10,2,207707480.0,1113476
neighbors,nearest_1_hwt_maxerr_10,2,216505394.0,1161888
neighbors,nearest_1_hwt_maxerr_10,2,221407756.0,1210300
neighbors,nearest_1_hwt_maxerr_10,2,236050485.0,1258712
neighbors,nearest_1_hwt_maxerr_10,2,246660031.0,1307124
neighbors,nearest_1_hwt_maxerr_10,2,251515196.0,1355536
neighbors,nearest_1_hwt_maxerr_10,2,259987390.0,1403948
neighbors,nearest_1_hwt_maxerr_10,2,268990510.0,1452360
neighbors,nearest_1_hwt_maxerr_10,2,279096533.0,1500772
neighbors,nearest_1_hwt_maxerr_10,2,286982720.0,1549184
