group,function,value,sample_time_nanos,iteration_count
neighbors,nearest_1_linear,32768,10029740.0,304
neighbors,nearest_1_linear,32768,21384059.0,608
neighbors,nearest_1_linear,32768,27955602.0,912
neighbors,nearest_1_linear,32768,37323751.0,1216
neighbors,nearest_1_linear,32768,46685935.0,1520
neighbors,nearest_1_linear,32768,55423311.0,1824
neighbors,nearest_1_linear,32768,64854062.0,2128
neighbors,nearest_1_linear,32768,74078446.0,2432
neighbors,nearest_1_linear,32768,83636188.0,2736
neighbors,nearest_1_linear,32768,91423667.0,3040
neighbors,nearest_1_linear,32768,99272647.0,3344
neighbors,nearest_1_linear,32768,108680204.0,3648
neighbors,nearest_1_linear,32768,118259270.0,3952
neighbors,nearest_1_linear,32768,126326241.0,4256
neighbors,nearest_1_linear,32768,134892332.0,4560
neighbors,nearest_1_linear,32768,144040641.0,4864
neighbors,nearest_1_linear,32768,153217057.0,5168
neighbors,nearest_1_linear,32768,162594983.0,5472
neighbors,nearest_1_linear,32768,172824839.0,5776
neighbors,nearest_1_linear,32768,181598494.0,6080
neighbors,nearest_1_linear,32768,190117683.0,6384
neighbors,nearest_1_linear,32768,198360579.0,6688
neighbors,nearest_1_linear,32768,208367188.0,6992
neighbors,nearest_1_linear,32768,215309976.0,7296
neighbors,nearest_1_linear,32768,224436895.0,7600
neighbors,nearest_1_linear,32768,234512558.0,7904
neighbors,nearest_1_linear,32768,250596883.0,8208
neighbors,nearest_1_linear,32768,264894147.0,8512
neighbors,nearest_1_linear,32768,270305331.0,8816
neighbors,nearest_1_linear,32768,275098621.0,9120
neighbors,nearest_1_linear,32768,280886367.0,9424
neighbors,nearest_1_linear,32768,299316324.0,9728
